ats_id,id,source,permeability [m^2],logk_stdev [-],porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],residual saturation [-],Rosetta porosity [-],Rosetta permeability [m^2],thickness [cm],bulk density [g/cm^3],total sand pct [%],total silt pct [%],total clay pct [%]
100,1793338.0,GLHYMPS,3.019951720402019e-11,1.61,0.01,0.00023767577360314695,1.8530419257963346,0.14888456080162943,,,,,,,
1000,,NRCS,3.4290275210225e-15,,0.3072458791208791,0.0001391538030189316,1.4707554854972253,0.17716451765899427,0.43104065087833865,8.079687029898409e-13,202.99999999999997,1.2973557692307693,66.35625,19.51875,14.125
1001,,NRCS,3.2472358738861235e-15,,0.3037142857142857,0.00013899111961813835,1.4695127397567325,0.17749253906993281,0.4327409224330908,8.184952206820009e-13,203.0,1.2923076923076922,66.4,19.3,14.299999999999999
1002,,NRCS,2.8000000000000014e-12,,0.37916256157635475,0.00015012268118250259,1.4910874458934966,0.17241209949803052,0.40088892871505655,6.477202478397656e-13,203.0,1.4,66.79950738916256,21.700492610837436,11.499999999999998
1003,,NRCS,2.7999999999999986e-12,,0.38487684729064037,8.336928698578347e-05,1.4687892683314976,0.1771223061852619,0.38868691724876514,3.412748424536142e-13,203.0,1.4,46.72167487684729,41.77832512315271,11.5
1004,,NRCS,2.7999999999999986e-12,,0.38487684729064037,8.336928698578347e-05,1.4687892683314976,0.1771223061852619,0.38868691724876514,3.412748424536142e-13,203.0,1.4,46.72167487684729,41.77832512315271,11.5
1005,,NRCS,2.7999999999999986e-12,,0.38487684729064037,8.336928698578347e-05,1.4687892683314976,0.1771223061852619,0.38868691724876514,3.412748424536142e-13,203.0,1.4,46.72167487684729,41.77832512315271,11.5
1006,,NRCS,1.8307058545308653e-12,,0.3298214812007916,0.0001658224703764169,1.4730454785500646,0.1856284964968652,0.3871142316049641,4.803887233239761e-13,203.0,1.488888888888889,69.04332028125133,17.115009894320238,13.841669824428443
1007,,NRCS,1.8307058545308653e-12,,0.3298214812007916,0.0001658224703764169,1.4730454785500646,0.1856284964968652,0.3871142316049641,4.803887233239761e-13,203.0,1.488888888888889,69.04332028125133,17.115009894320238,13.841669824428443
1008,,NRCS,6.219065143065801e-14,,0.34944186046511627,0.00012691346140728956,1.4458578032623806,0.18346812078325445,0.39876685242763216,4.296895970530211e-13,203.0,1.4106666666666667,60.00728682170543,26.226046511627906,13.766666666666667
1009,,NRCS,6.060887133605808e-14,,0.3464244186046511,0.0001248778930626915,1.4457933024979643,0.18321581994968508,0.39916765634667734,4.285058407743038e-13,203.0,1.4068749999999999,59.51002906976744,26.77122093023256,13.71875
1010,,NRCS,3.794887285095861e-14,,0.3194017451034995,0.00016211588356340772,1.4984824321876984,0.17780812132593096,0.40862582758190197,7.226965821316336e-13,203.0,1.3964285714285716,70.27248677248677,16.46516754850088,13.262345679012343
1011,,NRCS,2.8e-12,,0.24226600985221675,0.0001683873021548722,1.5596585271719978,0.16119397666592641,0.45715205930570074,1.846434247306405e-12,203.0,1.1980295566502464,76.5384236453202,12.010837438423646,11.450738916256157
1012,,NRCS,2.8000000000000014e-12,,0.3055110837438424,0.0001512389413959928,1.4792938068638388,0.17672413801811412,0.45469229225907065,1.162758246573373e-12,203.0,1.2305233990147784,70.8475369458128,13.736514778325123,15.41594827586207
1013,,NRCS,2.8000000000000014e-12,,0.31385975079687045,0.00014867512951405662,1.4693804628595941,0.1791791603215262,0.4538291066629602,1.0773825608272797e-12,203.0,1.237110982323964,69.87244277021153,14.111474934801507,16.01608229498696
1014,,NRCS,2.8000000000000014e-12,,0.3055110837438424,0.0001512389413959928,1.4792938068638388,0.17672413801811412,0.45469229225907065,1.162758246573373e-12,203.0,1.2305233990147784,70.8475369458128,13.736514778325123,15.41594827586207
1015,,NRCS,2.091074642814281e-12,,0.42141592390838256,0.0001306473919935351,1.409384502692677,0.19547484232893073,0.3709738253270591,2.366513449299635e-13,203.0,1.535417127912769,57.7601566391764,27.569263020977473,14.67058033984613
1016,,NRCS,1.689101493229988e-12,,0.42038775545249296,0.0001318450146722669,1.4093485559913947,0.19543131769706767,0.37039556657547507,2.3678654411425665e-13,203.0,1.5382865095710994,58.042624966134824,27.326604480981608,14.630770552883567
1017,,NRCS,1.729105498480877e-12,,0.4186251809566822,0.00013390658234437836,1.4093320916151937,0.1953596425418277,0.36940086765304053,2.3703807973273035e-13,203.0,1.5432054495568084,58.52685638377784,26.91061841241727,14.562525203804885
1018,,NRCS,9.069461679021352e-13,,0.37533750281721884,0.00012497135980598628,1.4043092283533591,0.20298252339547854,0.420460088370484,3.8890993615727737e-13,203.0,1.3771666022730935,59.11727438101678,21.08600204449596,19.796723574487267
1019,,NRCS,8.68682067387322e-13,,0.4109341332202886,0.00011784695826205396,1.3561935047274456,0.22596442133862116,0.38018876839986154,1.4788293871662544e-13,203.0,1.5426102035641844,53.15508186033034,25.29669842074761,21.548219718922052
1020,,NRCS,9.140653403346677e-13,,0.35340034925040803,0.00011736081515264528,1.368452354376933,0.21977672401724316,0.38286544682578266,1.688837213864419e-13,203.0,1.5233223398252225,53.59420038432796,25.951005810672733,20.45479380499932
1021,,NRCS,9.090538655864714e-13,,0.3485238880034773,0.00011435183785579552,1.3595914262204274,0.2248826182966754,0.3811933780276624,1.486963718112436e-13,203.0,1.5343440307157348,52.19976999420458,26.439637061721243,21.360592944074185
1022,,NRCS,9.95289229724666e-13,,0.38694581280788176,0.00014192594590574834,1.434837568151364,0.1932779144636644,0.41221939251143835,4.783588463479635e-13,203.0,1.4,64.41576354679803,18.601477832512316,16.982758620689655
1023,,NRCS,9.952892297246659e-13,,0.38798029556650243,0.00011824137080465155,1.4092716489171206,0.20056510255363064,0.4096547632113566,3.3886675989759573e-13,203.0,1.4,56.98275862068966,24.706896551724135,18.310344827586206
1024,,NRCS,6.249129423586903e-12,,0.17128078817733988,0.00023767577360314695,1.8530419257963346,0.14888456080162943,0.3844508163829933,2.0270953389754643e-12,203.0,1.4674876847290639,83.0896551724138,11.146798029556651,5.763546798029557
1025,,NRCS,1.8118088501654295e-12,,0.46629921741913594,0.00012709196683140242,1.4643701049770492,0.17493987958347632,0.3956973826636193,4.885422947943652e-13,203.0,1.404088669950739,60.28,28.05,11.67
1026,,NRCS,1.8118088501654305e-12,,0.46629921741913594,0.00012709196683140237,1.4643701049770494,0.17493987958347637,0.39569738266361937,4.885422947943662e-13,203.0,1.4040886699507389,60.28,28.049999999999997,11.67
1027,,NRCS,1.8118088501654295e-12,,0.46629921741913594,0.00012709196683140242,1.4643701049770492,0.17493987958347632,0.3956973826636193,4.885422947943652e-13,203.0,1.404088669950739,60.279999999999994,28.05,11.67
1028,,NRCS,6.23836810482595e-12,,0.2355549116198203,0.0002471319791421285,1.9284270676766266,0.1495817836984241,0.3847033343469433,2.349139427725265e-12,203.0,1.4742973051289479,84.85722978846711,9.099159663865546,6.043610547667343
1029,,NRCS,4.981052558064048e-15,,0.40555555555555556,0.0001471985639035005,1.4841063108923211,0.17547065560320613,0.4165979284028835,7.390878016597248e-13,202.99999999999997,1.35,67.4,19.6,13.0
1030,,NRCS,1.1075581895012786e-12,,0.26593032227431895,0.00010836467592911312,1.3894313873750797,0.2096074728688683,0.3815816289975026,1.8548258161503278e-13,203.0,1.5028001661819694,51.49522226838386,30.403881535996202,18.100896195619917
1031,,NRCS,1.035014398422693e-12,,0.2697044334975369,0.00010484108957462468,1.3905481445038583,0.21043310555200542,0.38525131470689755,1.8805411720445187e-13,203.0,1.4880295566502464,50.640394088669936,30.852216748768473,18.507389162561577
1032,,NRCS,1.9687213391828053e-12,,0.3099014778325123,0.00011695773196565981,1.40442369674607,0.20226354002852728,0.39388154357213173,2.6440348298945405e-13,203.0,1.4551724137931035,55.47635467980295,26.989162561576357,17.53448275862069
1033,,NRCS,1.1316347792210562e-12,,0.27098756744076935,0.00010911746966303826,1.3903507364095748,0.2089420220594113,0.38157486015902137,1.88523426449304e-13,202.99999999999997,1.5024067558057705,51.76659629368987,30.261552897020874,17.971850809289233
1034,,NRCS,1.1316347792210562e-12,,0.27098756744076935,0.00010911746966303826,1.3903507364095748,0.2089420220594113,0.38157486015902137,1.88523426449304e-13,202.99999999999997,1.5024067558057705,51.76659629368987,30.261552897020874,17.971850809289233
1035,,NRCS,1.0235052646079289e-12,,0.36561576354679803,0.00013519023219880127,1.3952637272614026,0.2086749411968204,0.3996141441169314,2.9206961511036236e-13,203.0,1.4660591133004925,60.603940886699505,19.792610837438424,19.60344827586207
1036,,NRCS,1.0235052646079289e-12,,0.36561576354679803,0.00013519023219880127,1.3952637272614026,0.2086749411968204,0.3996141441169314,2.9206961511036236e-13,203.0,1.4660591133004925,60.603940886699505,19.792610837438424,19.60344827586207
1037,,NRCS,2.8000000000000014e-12,,0.32487684729064037,0.00014122861405438386,1.4490883992066017,0.18403681093118576,0.4520178091500487,9.100579767355658e-13,203.0,1.2477524630541872,67.26681034482758,15.56293103448276,17.17025862068966
1038,,NRCS,2.282599341025336e-12,,0.3640408577223993,0.0001245956180614519,1.4164951312128655,0.19692350494370692,0.4255990107993442,4.633337623885327e-13,185.00000000000003,1.3467326785523648,59.96551876649026,21.381981576659705,18.652499656850036
1039,,NRCS,2.8e-12,,0.28,9.069033486949848e-05,1.4396892259765581,0.18449830001233294,0.36165620880369015,2.0573431338012289e-13,203.0,1.53,45.3,43.2,11.5
1040,,NRCS,2.7999999999999986e-12,,0.3265024630541872,0.00018295694771318247,1.5742972022880908,0.1656598191362006,0.40057191130976866,9.869368453115702e-13,203.0,1.4136453201970443,74.55960591133005,15.282758620689656,10.157635467980295
1041,,NRCS,2.8e-12,,0.30635467980295567,0.00018295694771318247,1.5742972022880908,0.1656598191362006,0.40057191130976866,9.869368453115702e-13,203.0,1.4136453201970443,74.55960591133005,15.282758620689656,10.157635467980295
1042,,NRCS,2.7999999999999986e-12,,0.30635467980295567,0.00018295694771318247,1.5742972022880908,0.1656598191362006,0.40057191130976866,9.869368453115702e-13,203.0,1.4136453201970443,74.55960591133005,15.282758620689656,10.157635467980295
